1		122					
224694000	2507.878359	22.14444444	184.32	540.48	35.5	397.1333333	6.288888889
227322000	5277.39659	24.43333333	66.24	555.36	30.4	404.9111111	5.722222222
229950000	6238.173387	28	122.4	350.88	30.25	357.4666667	6.222222222
232578000	3338.141667	24.86666667	60	648	25.61666667	346.4222222	6.777777778
235206000	10329.47085	20.85555556	76.8	727.2	25.31666667	427.3111111	6.422222222
237834000	2049.325899	17.68888889	63.6	184.32	25.11666667	418.1333333	7
240462000	11520.58242	12.08888889	77.76	320.64	24.8	428.5555556	7.777777778
243090000	5396.97397	10.38888889	110.4	324.48	23.91666667	413	8.077777778
245718000	2060.73919	8.666666667	128.64	324.96	30.71666667	504.3111111	9.344444444
248346000	3342.99629	10.76666667	98.4	286.08	31.45	520.1777778	9.7
250974000	1039.111935	16.27777778	127.2	266.4	29.8	449.0888889	8.455555556
253602000	2477.737291	18.14444444	94.62857143	236.2285714	25.26666667	410.2	7.755555556
256230000	5130.904983	21.48888889	129.6	278.0571429	24.91666667	358.7111111	7.2
258858000	8782.465333	23.5	110.4	345.6	23.8	356.6888889	7
261486000	9890.353737	28.03333333	219.4285714	346.2857143	29.83333333	393.7111111	6.055555556
264114000	8646.578333	25.07777778	120.8	301.0285714	22.16666667	349.3777778	6.411111111
266742000	3026.984516	19.72222222	114.4	284.2285714	23.88333333	335.3777778	6.566666667
269370000	14718.03602	16.16666667	82.4	208.8	25.43333333	436.1777778	7.144444444
271998000	9727.85923	12.94444444	141.9428571	255.7714286	20.9	332.7333333	8.011111111
274626000	7160.236161	10.26666667	130.2857143	289.7142857	24.61666667	446.2888889	8.844444444
277254000	3519.886869	10.46666667	126.4	205.3714286	26.61666667	468.6888889	9.355555556
279882000	2815.8402	10.2	145.6	247.2	25.9	469.7777778	9.133333333
282510000	5980.417865	16.54444444	136	243.4285714	28.7	472.1111111	7.4
285138000	2587.888214	20.95555556	156	269.1428571	27.03333333	309.0888889	6.677777778
287766000	3471.849355	21.21111111	144.8	229.0285714	27.43333333	344.7111111	6.4
290394000	6573.716	24.12222222	159.2	273.2571429	30.25	423.1111111	6.122222222
293022000	8507.821613	26.44444444	124.8	229.0285714	28.48333333	380.1777778	5.944444444
295650000	8526.913667	23.91111111	157.6	271.2	25.7	302.7111111	6.288888889
298278000	3451.641613	20.48888889	101.6	199.2	25.3	389.0444444	6.366666667
300906000	9374.549355	15.34444444	144.8	254.7428571	25.35	369.6	7.644444444
303534000	1865.994333	14.58888889	148.8	259.8857143	22.93333333	396.0444444	7.566666667
306162000	10827.92871	9.466666667	128.8	234.1714286	25.8	403.6666667	8.688888889
308790000	6780.924	9.3	75.2	165.2571429	24.13333333	448.3111111	8.822222222
311418000	3218.106774	12.07777778	132.8	239.3142857	34.35	478.9555556	8.722222222
314046000	864.633871	14.1	88	181.7142857	36.05	454.6888889	8.866666667
315360000	5028.958929	17.73333333	106.4	179.6571429	28.11666667	391.3777778	7.866666667
